Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Ullanlinna,53.8,398000,7398,1908,1,3,F2013,1,0,4,5
Pohjois-haaga,28.5,175000,6140,1955,0,1,F2018,1,0,2,3
Sörnäinen,54.7,300000,5484,1913,1,2,E2007,1,0,2,5
Pohjois-haaga,23.5,136000,5787,1956,1,2,G2013,1,0,6,10
Kallio,29.0,186500,6431,1961,1,1,E2007,1,0,6,7
Kallio,32.0,214000,6688,1912,0,1,,1,0,4,5
Harju,32.0,233000,7281,1932,1,2,,1,0,5,7
Kallio,23.0,160000,6957,1907,0,1,F2013,1,0,3,4
Pitäjänmäki,27.5,120000,4364,1963,0,2,E2013,1,0,3,3
Etelä-haaga,27.5,130000,4727,1960,0,2,G2013,1,0,1,3
Mellunmäki,30.0,100000,3333,1968,0,2,,1,0,3,3
Kallio,33.0,188000,5697,1907,0,1,F2013,1,0,2,4
Kallio,28.5,203000,7123,1961,1,1,G2013,1,0,5,6
Kallio,35.5,251000,7070,1936,1,1,E,1,0,6,8
Vallila,24.2,190000,7851,1926,0,2,E2007,1,0,3,4
Konala,27.5,109000,3964,1972,1,2,G2013,1,0,2,4
Herttoniemi,34.0,170000,5000,1955,1,1,F2007,1,0,1,4
Oulunkylä,35.0,173277,4951,1955,0,1,,1,0,1,4
Töölö,24.2,195000,8058,1913,0,1,,1,0,4,5
Malmi,46.5,187000,4022,1931,1,2,F2007,1,0,2,3
Kamppi,50.0,400000,8000,1908,0,2,,1,0,5,6
Käpylä,33.0,164000,4970,1928,0,2,E2007,1,0,4,4
Alppila,21.5,165000,7674,1936,0,2,,1,0,3,4
Kallio,22.5,160000,7111,1937,1,1,,1,0,1,7
Lauttasaari,25.0,192000,7680,1940,1,1,F2013,1,0,5,5
Pohjois-haaga,24.5,132000,5388,1956,1,2,E2018,1,0,9,10
Taka-töölö,32.0,240000,7500,1937,1,2,E2007,1,0,2,6
Punavuori,25.0,210000,8400,1952,1,2,,1,0,5,4
