Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Matinkylä,81.0,435000,5370,2003,1,1,D2007,3,1,8,8
Olari,74.0,234000,3162,1970,0,1,D2007,3,0,2,3
Olari,75.0,215000,2867,1973,1,2,F2013,3,1,4,8
Matinkylä,78.5,340000,4331,2001,1,1,E2007,3,1,5,5
Olari,81.0,259000,3198,1984,0,2,E2007,3,0,1,2
Niittykumpu,85.0,406000,4776,2005,1,1,C2007,3,1,1,6
Niittykumpu,61.0,332000,5443,2017,1,1,C2013,3,0,5,8
Maininki espoonlahti,82.0,248000,3024,1973,1,1,F2013,3,1,6,8
Olari,87.0,254000,2920,1969,1,2,E2013,2,0,2,7
Olari,97.0,363000,3742,1973,0,1,F2007,3,0,2,2
Olari,64.0,311100,4861,2020,1,1,C2018,3,0,6,6
Pohjois-tapiola,59.5,210000,3529,1980,1,1,D,3,0,4,9
Matinkylä,68.0,173000,2544,1973,0,1,G2007,3,0,2,3
Kilo,60.0,250000,4167,2018,1,1,C2013,3,1,3,4
Tuomarila,69.0,230000,3333,2004,1,1,E2013,3,1,1,4
Kilo,65.0,260000,4000,2001,1,1,,3,1,3,3
Tuomarila,68.0,237000,3485,2007,1,1,C2007,3,1,2,6
Olari,66.0,369600,5600,2021,1,1,C,3,1,6,6
Laaksolahti,72.5,195000,2690,1983,0,1,E2007,3,1,2,2
Kivenlahti,76.5,229500,3000,1972,0,1,D2013,3,0,2,4
Laurinlahti,90.5,400000,4420,2017,1,1,C,2,1,2,2
Olari,76.5,229000,2993,1981,0,1,D2007,3,0,2,3
Leppävaara,67.0,210000,3134,1986,1,2,D2007,3,1,3,7
Matinkylä,77.0,255000,3312,1974,1,2,D2013,3,0,9,15
Vallikallio,72.0,225000,3125,1985,1,2,D2007,3,1,2,4
Vallikallio,75.5,250000,3311,1988,1,1,F,3,1,3,3
Karakallio,66.0,142000,2152,1966,1,1,D2013,3,0,6,6
Westend,82.0,339000,4134,1981,0,1,F2013,3,1,3,3
Matinkylä,76.0,176000,2316,1975,0,1,D2007,3,0,1,3
Soukka,77.0,232959,3025,1971,1,3,D2007,3,0,8,8
Suvela,74.5,160000,2148,1979,1,1,E2013,3,0,5,5
Espoonlahti,81.0,420000,5185,2013,1,1,A2007,3,1,12,12
"Kivenlahti, espoonlahti",76.5,215000,2810,1973,0,1,,3,0,1,3
Karakallio,65.5,120000,1832,1966,1,1,D,3,0,1,6
Vallikallio,75.5,175000,2318,1980,0,3,F2013,3,1,2,3
Tapiola,72.5,222000,3062,1982,1,2,C2013,3,1,4,6
Leppävaara,65.5,354000,5405,2014,1,1,C,3,0,7,8
"Tapiola, pohjois-tapiola",90.0,472000,5244,2007,0,2,,3,0,4,5
Kilo,61.5,275000,4472,2010,0,1,,3,1,2,4
Matinkylä,69.0,385000,5580,2011,0,1,,3,0,4,5
Tapiola,85.5,701100,8200,2020,1,1,C,3,1,8,12
Tapiola,68.2,340000,4985,1955,0,1,,3,0,2,3
Kivenlahti,82.0,174000,2122,1972,0,1,,3,0,3,4
Niittykumpu,61.0,322000,5279,2017,1,1,C2015,3,1,4,8
Olari,73.0,185000,2534,1981,0,1,D2007,3,1,1,3
Leppävaara,62.0,263000,4242,2007,1,1,E,3,1,1,5
"Matinkylä, iirislahti, haukilahti",61.0,355000,5820,2017,0,1,,3,0,2,4
Saunalahti,74.0,317000,4284,2016,0,1,,3,0,3,5
Leppävaara,64.0,210000,3281,1964,0,1,F2013,3,0,3,4
Tuomarila,73.0,262000,3589,2008,1,1,C2007,3,1,5,5
Leppävaara,72.5,326000,4497,2003,0,1,,3,1,2,5
Tiistilä,69.0,214000,3101,1985,0,1,E2013,3,1,3,3
Matinkylä,80.5,189000,2348,1973,0,2,G,3,0,3,3
Olari,60.5,195500,3231,1971,1,1,F2013,3,0,3,5
Perkkaa,74.5,177000,2376,1973,0,1,,3,1,7,8
Soukka,76.0,159500,2099,1971,0,1,,3,0,3,3
Suvela,78.5,130000,1656,1972,1,1,F2013,3,0,4,6
Leppävaara,74.0,350000,4730,1997,0,1,,3,1,3,7
Matinkylä,72.0,192000,2667,1970,0,1,F2013,3,0,1,3
Leppävaara,70.0,265000,3786,1989,1,1,F2013,3,1,4,5
Painiitty,67.0,285000,4254,2014,0,1,C,3,1,1,2
Kivenlahti,77.0,340000,4416,1999,1,1,C2007,3,1,17,22
Tontunmäki,68.5,205000,2993,1976,0,2,,3,0,2,2
Soukka,76.0,175000,2303,1971,1,1,F2007,3,0,1,10
Haukilahti,63.0,265000,4206,1964,1,1,D2007,3,0,1,4
Olari,73.5,218000,2966,1971,1,1,F2013,3,0,1,8
Matinkylä,75.0,260000,3467,1984,1,1,D2007,3,1,6,6
Haukilahti,71.0,273500,3852,1963,0,1,D2007,3,0,2,4
Olari,76.5,182000,2379,1978,1,1,D,3,0,2,7
Perkkaa,79.0,152000,1924,1972,1,2,,3,0,6,8
Viherlaakso,75.0,137000,1827,1970,0,1,,3,0,3,3
Tapiola,70.0,345000,4929,1960,0,1,F,3,0,1,3
Leppävaara,72.5,323000,4455,2001,0,1,,3,1,2,2
Olari,77.0,261000,3390,1983,1,2,E2007,3,0,4,7
Tontunmäki,78.0,268000,3436,1988,0,2,E2007,3,1,1,2
Karakallio,65.0,139000,2138,1965,1,1,D,3,1,1,5
Tuomarila,78.5,129000,1643,1976,0,2,,3,0,3,7
Kuitinmäki / olari,75.0,306000,4080,1984,0,1,,3,1,1,2
Tapiola,67.5,534600,7920,2020,1,1,C,3,0,7,12
Kilo,71.5,223000,3119,1990,0,1,,3,1,3,3
Iivisniemi,74.0,229000,3095,1969,0,1,,3,0,5,6
Olari,85.0,182500,2147,1974,0,1,,3,1,9,9
Mäkkylä,88.0,384000,4364,2013,1,1,A2007,3,1,1,8
Tapiola,67.0,285000,4254,1989,0,2,E2018,3,0,2,2
Pohjois-tapiola,69.0,273000,3957,1965,0,2,E2007,3,0,3,3
Kivenlahti,79.5,215000,2704,1983,0,1,D2007,3,0,1,3
Perkkaa,62.0,142000,2290,1975,1,2,F2013,3,1,3,3
Matinkylä,66.0,328000,4970,2011,1,1,C2007,3,1,4,6
Suvikumpu,76.5,346012,4523,1969,0,2,F2007,3,0,1,3
Suvela,76.5,128000,1673,1981,0,2,,3,0,4,6
Olari,73.5,191000,2599,1971,1,2,F2013,3,0,6,8
Tuomarila,74.0,264000,3568,2008,1,1,E2013,3,0,3,4
Tapiola,62.0,250000,4032,1963,0,2,,2,0,2,6
Tapiola,76.5,475000,6209,2010,0,1,,3,1,3,5
Suvela,78.5,113000,1439,1973,1,1,,3,1,5,7
Kivenlahti,82.0,135000,1646,1972,0,2,,3,0,1,4
Matinkylä,72.5,194000,2676,1987,0,2,F2014,3,0,1,3
Kauklahti,56.5,234475,4150,2019,1,1,C,3,0,2,4
Perkkaa,79.0,155000,1962,1973,1,2,G2014,3,0,5,6
Espoonlahti,80.0,250000,3125,1983,0,1,F2013,3,1,2,2
Suna,75.0,143000,1907,1981,1,1,F2013,3,0,4,7
Niittykumpu,75.5,390500,5172,2014,1,1,B2018,3,1,3,4
Kauklahti,12.5,3000,240,2019,0,1,,3,1,1,1
Leppävaara,62.5,212000,3392,1987,1,1,F,3,0,1,5
Haukilahti,67.0,280000,4179,1963,0,1,E2007,3,1,3,3
Leppävaara,68.5,357000,5212,2010,1,1,C2007,3,1,13,20
Vallikallio,91.0,214000,2352,1984,0,2,,3,1,2,3
Tapiola,67.5,519750,7700,2020,1,1,C,3,1,6,12
Espoonlahti,77.5,170000,2194,1980,1,1,F2013,3,0,6,7
Kauklahti,12.5,3000,240,2019,0,1,,3,1,1,2
Kauklahti,45.0,206775,4595,2019,0,1,,3,1,1,2
Suurpelto,52.5,238316,4539,2018,1,1,B2007,3,0,4,5
Tapiola,81.0,378000,4667,1954,0,1,D2007,3,0,2,4
Lippajärvi,69.5,175000,2518,1971,0,2,G2015,3,1,1,3
Olari,75.5,156823,2077,1972,1,1,E2013,3,0,4,8
Saunalahti,57.5,273185,4751,2019,0,1,C,3,1,6,6
Tuomarila,68.0,250000,3676,2007,1,1,,3,1,4,4
Tapiola,75.5,510000,6755,2013,1,1,D2013,3,0,7,8
Meri-kivenlahti,81.0,175000,2160,1972,1,1,E,3,0,2,6
Niittymaa,93.0,460000,4946,2007,1,1,,3,1,2,4
Leppävaara,61.0,223636,3666,1999,1,1,D2007,3,1,1,4
Kilo,76.0,294250,3872,2002,1,1,F2013,3,1,4,5
Lintuvaara,64.5,333000,5163,2019,1,1,C2013,3,1,4,5
Kivenlahti,61.5,314000,5106,1981,1,1,,3,1,5,5
Haukilahti,71.5,338000,4727,1989,1,1,D2007,2,1,3,3
Leppävaara,78.0,211000,2705,1980,1,1,D2007,3,1,4,4
Kilo,62.0,253000,4081,2002,1,1,D2007,3,1,1,3
Kilo,72.0,283000,3931,2014,1,1,A,3,1,6,7
Perkkaa,74.5,185000,2483,1973,1,1,F,3,1,2,6
Kivenlahti,82.0,170000,2073,1973,0,2,D2007,3,0,2,4
Suvela,76.0,127000,1671,1975,0,1,,3,1,1,7
Westend,96.0,617000,6427,2014,1,1,B2018,2,0,2,5
Karakallio,72.0,131000,1819,1970,0,1,D2013,3,1,1,4
Tuomarila,74.5,245000,3289,2005,1,1,E,3,1,2,4
Niittykumpu,75.5,370000,4901,2014,1,1,B2018,3,1,4,4
Suurpelto,52.5,236191,4499,2018,1,1,B2007,3,0,3,5
Niittykumpu,74.5,390000,5235,2014,1,1,B2018,3,0,5,5
Laurinlahti,93.0,634267,6820,2017,1,1,C,3,1,3,3
Suvela,69.0,124500,1804,1979,1,1,F,3,1,2,7
Rastaspuisto,73.0,268500,3678,2008,1,1,,3,1,3,4
Tapiola,71.0,370000,5211,1954,0,1,D2007,3,0,3,3
Tapiola,72.0,345000,4792,1965,1,2,E2007,3,0,3,5
Leppävaara,74.0,223000,3014,1987,1,2,D,3,1,3,3
Matinkylä,79.0,248000,3139,1985,0,1,D2007,3,0,1,3
Leppävaara,68.5,298000,4350,2000,1,1,,3,1,3,5
Karakallio,75.0,112000,1493,1970,1,3,D2013,3,0,5,5
Viherlaakso,75.5,185000,2450,1977,1,1,G2013,3,0,3,5
Leppävaara,76.0,274000,3605,1992,1,2,F2013,3,1,2,3
Tapiola,68.0,335000,4926,1956,0,2,E2007,3,0,4,4
Olari,74.0,239000,3230,1970,0,1,D2007,3,0,3,3
Laaksolahti,65.0,175000,2692,1971,0,1,G2015,3,0,3,3
Tapiola,70.0,323000,4614,1960,0,1,D,3,0,2,3
Kilo,75.5,275000,3642,2002,1,1,F,3,1,4,5
Leppävaara,73.5,284000,3864,1997,0,1,F2013,3,1,3,3
Soukka,80.5,165000,2050,1969,0,2,D2007,3,1,4,4
Kirkkojärvi,91.0,218000,2396,1980,1,1,E2013,3,0,1,5
Leppävaara,76.0,298000,3921,1990,1,1,D2007,3,1,4,5
Suurpelto,80.0,325000,4063,2014,1,1,C2007,3,1,1,5
Tapiola,70.0,355000,5071,1957,0,1,,3,0,3,3
Iivisniemi,74.0,189000,2554,1969,1,2,E2007,3,0,2,6
Vallikallio,62.0,172000,2774,1964,0,2,E2007,3,0,2,2
Tuomarila,72.0,221000,3069,2007,1,1,C2007,3,1,2,4
Olari,74.0,238000,3216,1970,0,2,D2007,3,0,3,3
Kivenlahti,76.5,156000,2039,1984,0,2,D2007,3,0,3,4
Tapiola,74.0,351000,4743,1990,1,1,E,3,1,2,5
Leppävaara,72.0,345000,4792,2017,1,1,C2013,3,1,6,8
Karakallio,75.0,122000,1627,1970,1,2,D2013,3,0,1,5
Tapiola,78.5,300000,3822,1990,1,2,E,3,0,1,4
Espoonlahti,83.5,370000,4431,2005,1,1,E2013,3,1,5,8
Lintuvaara,65.0,312500,4808,2019,1,1,C2013,3,1,1,5
Ymmersta,72.0,251000,3486,2005,1,1,E2013,3,1,4,5
Matinkylä,81.0,402000,4963,2002,1,1,D2007,3,1,2,8
Olari,87.0,290000,3333,1972,1,1,E2007,3,1,2,5
Saunalahti,77.0,240000,3117,2004,1,1,D2007,3,0,3,4
Matinkylä,74.5,183000,2456,1977,0,1,D,3,0,3,3
Niittymaa,93.0,475000,5108,2007,1,1,C2007,3,1,3,4
Saunalahti,72.5,285000,3931,2007,1,1,D2007,3,0,4,4
Lintuvaara,71.5,331475,4636,2019,1,1,C2013,3,1,2,5
Perkkaa,62.0,137000,2210,1975,1,2,F2013,2,0,1,6
Haukilahti,63.5,290000,4567,1979,0,1,D2007,2,1,3,3
Leppävaara,67.0,225000,3358,1985,1,1,D2007,3,1,1,6
Kilo,68.5,312000,4555,2016,1,1,C,3,1,5,5
Tapiola,70.0,315000,4500,1960,0,1,D,3,0,1,3
Kivenlahti,88.5,150000,1695,1975,1,2,G2013,3,0,3,9
Lähderanta,66.0,153500,2326,1962,1,2,F2018,3,0,4,5
Suvela,77.0,126000,1636,1972,1,1,F,3,0,5,8
Iirislahti,74.0,400000,5405,2014,1,1,A,3,1,4,4
Viherkallio,78.5,146800,1870,1969,0,1,E2013,3,0,3,3
Tapiola,81.5,628000,7706,2013,1,1,A,3,1,4,5
Matinkylä,74.5,179000,2403,1977,0,1,D,3,0,3,3
Laurinlahti,84.0,392000,4667,2001,1,1,F2013,3,1,1,4
Lintuvaara,71.5,378950,5300,2019,1,1,C2013,3,1,5,5
Tapiola,65.0,280000,4308,1964,1,2,E2007,3,1,4,5
Lintuvaara,71.5,361075,5050,2019,1,1,C2013,3,1,4,5
Tapiola,73.0,391000,5356,1957,0,1,,3,0,2,3
Matinkylä,78.0,403000,5167,2008,1,1,A2007,3,1,3,8
Soukka,83.0,195000,2349,1969,1,1,F2013,3,0,2,7
Tapiola,81.0,325000,4012,1954,0,1,D2007,3,1,4,4
Perkkaa,66.0,260000,3939,2003,1,1,,3,1,4,5
Lippajärvi,69.5,189100,2721,1971,0,1,,3,0,1,3
Leppävaara,71.5,332475,4650,2019,1,1,C2013,3,0,2,5
Tapiola,74.0,300000,4054,1989,0,1,E,3,1,1,2
Espoonlahti,82.0,230340,2809,1975,1,2,F2013,3,0,2,4
Lähderanta,60.0,141000,2350,1962,0,2,F2018,3,1,3,3
Karakallio,81.5,105000,1288,1970,0,2,D2013,3,0,2,4
Matinkylä,68.5,348000,5080,2003,1,1,F2003,3,1,1,6
Leppävaara,65.5,359000,5481,2013,1,1,C2018,3,0,8,8
Leppävaara,88.0,345000,3920,2000,1,1,D2007,4,1,2,4
Tapiola,119.0,639000,5370,1964,1,1,E2007,5,0,5,5
Olari,111.0,217000,1955,1974,1,2,F2013,5,1,2,6
Kilo,74.5,309000,4148,2017,1,1,C2018,4,0,3,4
Ymmersta,102.0,344000,3373,2006,1,1,E2013,4,1,2,3
Olari,126.5,370000,2925,1972,1,1,E2013,5,0,5,6
Tapiola,122.5,940000,7673,2018,1,1,C,4,0,4,4
Iivisniemi,89.0,218000,2449,1967,0,1,D2018,4,0,4,4
Tapiola,83.0,359000,4325,1964,1,2,E2007,4,0,2,5
Tapiola,86.0,425000,4942,1956,0,1,D2007,4,0,2,3
Laajalahti,88.0,163000,1852,1974,0,2,D,4,0,3,3
Olari,91.0,439500,4830,2020,1,1,C2018,4,0,5,5
Haukilahti,118.0,395000,3347,1963,1,2,,4,0,2,3
Kilo,74.5,300000,4027,2017,1,1,C2018,4,0,3,4
Leppävaara,93.0,315000,3387,1988,1,1,D2013,4,1,4,5
Saunalahti,79.5,329800,4148,2019,0,1,C2013,4,0,6,6
Karakallio,87.0,160000,1839,1968,0,2,D2007,4,0,1,3
Suvela/kirstinmäki,95.5,160000,1675,1973,1,2,G2013,4,0,1,7
Karakallio,91.5,274000,2995,2007,1,1,C2007,4,1,3,4
Matinkylä,92.5,280000,3027,1982,1,1,C2007,4,0,7,8
Laaksolahti,88.0,332000,3773,2008,1,1,C2007,4,1,3,4
Tapiola,86.5,410000,4740,1959,1,2,E2013,3,0,5,8
Westend,218.0,500000,2294,1973,0,2,F2013,4,0,1,2
Matinkylä,34.0,175000,5147,1974,1,1,D2013,1,0,11,15
Lähderanta,84.0,165000,1964,1962,0,2,F2018,3,0,1,2
Haukilahti,129.5,487500,3764,1989,1,1,,4,0,1,2
Leppävaara,75.0,185000,2467,1975,0,2,,3,0,4,6
Leppävaara,88.5,357000,4034,1997,0,1,,4,0,4,7
Haukilahti,98.0,330000,3367,1968,0,2,,4,0,2,3
Tapiola,81.0,332500,4105,1954,0,2,D2007,4,0,2,4
Tapiola,101.0,698303,6914,2019,1,1,B2018,3,0,4,4
Haukilahti,105.5,427000,4047,1989,0,1,,5,1,1,3
Olari,102.5,474000,4624,2020,1,1,C2018,4,1,4,5
"Perkkaa, leppävaara",93.0,203000,2183,1973,0,2,,4,0,7,8
Olari,98.0,324000,3306,1972,0,1,,4,1,5,6
Tapiola,94.0,438000,4660,1963,0,1,E2007,4,0,3,3
Olari,136.5,367300,2691,1973,1,1,E,4,0,1,5
Saunalahti,111.5,363000,3256,2005,1,1,F2013,4,1,5,5
Kirstinmäki,95.5,192000,2010,1975,0,1,,4,1,5,6
Niittykumpu,117.0,616000,5265,2014,1,1,B2018,4,1,5,5
Olari,96.0,217500,2266,1971,0,1,E2007,4,1,1,3
Olari,95.0,310000,3263,1972,1,1,E2007,4,1,3,5
Lähderanta,85.0,197000,2318,1962,0,1,F2018,4,0,3,7
Viherlaakso,102.0,188000,1843,1971,0,1,G2015,5,0,3,3
"Leppävaara, ruusutorppa, säteri",87.0,385000,4425,2003,0,1,,4,0,1,5
Lansa,90.0,245000,2722,1990,0,2,,4,1,3,3
Matinkylä,98.5,310000,3147,1973,0,1,,4,1,3,3
Kivenlahti,116.0,209000,1802,1974,0,1,,5,1,2,4
Matinkylä,87.0,430000,4943,2005,1,1,D,4,1,1,5
Tuomarila,119.0,470000,3950,2008,1,1,E2013,4,1,3,4
Matinkylä,88.0,197000,2239,1983,0,2,C2007,4,0,2,3
Tapiola,86.0,398000,4628,1956,0,2,D2013,4,0,2,3
Espoonlahti,102.0,185000,1814,1975,0,1,F2013,4,1,2,4
Espoonlahti,103.0,256000,2485,1975,1,2,F2013,4,0,1,4
Kaitaa,88.0,278000,3159,1990,0,1,D2007,4,1,2,2
Olari,87.0,273000,3138,1981,0,1,D2007,4,1,1,3
Leppävaara,133.0,250000,1880,2010,1,1,C2007,3,1,7,20
Matinkylä,93.0,469000,5043,2008,1,1,A2007,3,1,1,8
Matinkylä,108.5,490000,4516,2004,1,1,E2007,5,0,5,5
Leppävaara,94.5,282000,2984,1990,0,1,C2007,4,1,2,3
Olari,90.5,270000,2983,1970,0,1,D2007,4,0,3,3
Saunalahti,127.5,360000,2824,2004,0,1,,4,1,1,2
Olari,91.0,419000,4604,2020,1,1,C,4,0,4,5
Mäkkylä,110.5,525000,4751,2012,0,1,,4,1,7,8
Niittykumpu,82.0,329000,4012,1962,1,1,F2013,4,0,2,4
Niittykumpu,106.0,396000,3736,1963,1,1,F,5,0,1,4
Olari,90.0,389000,4322,2020,1,1,C,4,0,3,6
Tapiola,81.5,375000,4601,1980,1,1,D,4,1,2,8
Tapiola,101.0,790000,7822,2017,1,1,C,4,1,8,12
Viherlaakso,91.0,335000,3681,1965,0,1,,4,1,5,5
Leppävaara,90.0,238000,2644,1983,0,2,D,4,1,3,3
Olari,91.5,194000,2120,1971,0,2,E2007,4,1,3,3
Iirislahti,95.5,540000,5654,2017,1,1,C2013,4,0,4,4
Leppävaara,86.0,265000,3081,1990,1,2,C2007,4,1,4,4
Kivenlahti,88.5,150000,1695,1974,1,2,F,4,0,1,9
Perkkaa,75.0,180000,2400,1975,1,2,F,3,0,6,6
Tapiola,83.0,299000,3602,1963,1,1,E2007,4,0,3,5
Matinkylä,83.0,383000,4614,2003,1,1,C2007,3,1,6,8
Leppävaara,81.0,230000,2840,1963,0,1,E2012,4,0,2,3
Tapiola,86.5,415000,4798,1960,0,2,,4,0,3,4
Soukka,110.0,285000,2591,1972,1,1,F2013,4,0,7,7
Kivenlahti,99.0,270000,2727,1984,0,1,D2007,5,0,2,4
Vallikallio,107.5,292000,2716,1981,1,1,D2007,5,1,1,4
Matinkylä,89.0,495000,5562,2013,1,1,C2018,4,1,6,6
Soukka,91.0,254000,2791,1971,1,1,D2007,4,0,8,8
Niittymaa,120.0,565000,4708,2006,1,1,,4,1,2,5
Vallikallio,98.0,282000,2878,1980,1,2,D2007,4,1,3,4
Tapiola,94.0,410000,4362,1963,0,2,E2007,4,0,1,3
Suvikumpu,99.0,430758,4351,1969,0,2,F,4,0,1,2
Pohjois-Tapiola,85.0,280000,3294,1980,0,2,E2013,4,1,3,3
Tapiola,102.0,440000,4314,1986,0,1,D2007,4,1,3,4
Saunalahti,87.0,321119,3691,2019,1,1,C,4,1,4,6
Matinkylä,92.5,430000,4649,2008,1,1,E,4,0,6,8
Lippajärvi,103.5,230000,2222,1982,0,1,E2007,4,1,1,3
Laurinlahti,101.5,655000,6453,2017,1,1,C,4,1,2,3
Espoonlahti,103.0,273000,2650,1975,1,1,F2013,5,0,2,4
Kilo,81.0,240000,2963,1990,0,2,C2007,4,1,1,3
Leppävaara,83.5,275000,3293,1993,1,1,D2007,4,1,5,5
Perkkaa,75.0,219000,2920,1975,0,1,F,4,1,1,3
Iivisniemi,89.0,246000,2764,1967,0,1,D2007,4,0,4,4
Tapiola,98.5,385000,3909,1965,1,1,F2013,5,0,2,7
Olari,125.0,285000,2280,1976,1,2,E2013,4,1,4,4
Matinkylä,103.0,545000,5291,2005,1,1,D,4,1,5,5
Kaivoksela,30.5,145481,4770,2018,1,1,C2007,1,0,7,7
Vanha koivukylä,33.5,155000,4627,2015,1,1,,1,0,6,8
Asola,21.0,122549,5836,2020,0,1,C2018,1,0,2,4
Asola,23.5,126852,5398,2020,0,1,C2018,1,0,3,4
Myyrmäki,31.0,112000,3613,1978,1,2,F2013,1,1,3,6
Jokiniemi,35.0,122000,3486,1984,0,1,C2007,1,0,2,4
Korso,36.0,127000,3528,1989,0,2,D2007,1,1,3,4
Rajakylä,32.6,159000,4877,2019,0,1,C2018,1,0,1,2
Asola,24.0,139302,5804,2019,1,1,C2013,1,1,5,5
Kartanonkoski,42.0,188000,4476,2003,1,1,D2007,1,1,4,4
Kivistö,28.5,145881,5119,2020,1,1,,1,0,2,6
Havukoski,32.5,88000,2708,1976,1,2,F2013,1,0,6,6
Mikkola,33.0,70000,2121,1971,0,1,E2013,1,0,1,3
Kivistö,25.0,143661,5746,2019,0,1,C2018,1,0,3,4
Kivistö,20.0,126464,6323,2020,1,1,,1,0,2,6
Kivistö,20.0,132438,6622,2020,1,1,,1,0,2,6
Pähkinärinne,28.0,103000,3679,1975,0,2,,1,0,2,3
Vantaanpuisto,33.5,102800,3069,1968,0,2,F2013,1,0,2,3
Kivistö,23.0,137866,5994,2019,0,1,,1,0,5,6
Kivistö,23.0,134758,5859,2019,0,1,C2018,1,0,4,4
Vaarala,31.5,105000,3333,1957,0,1,D2007,1,0,4,4
Myyrmäki,28.0,104000,3714,1973,1,2,F2013,1,0,4,5
Hiekkaharju,37.0,182500,4932,2017,1,1,C2013,1,1,4,4
Simonmetsä,31.5,115000,3651,1967,0,1,E2007,1,0,2,3
Pakkala,32.5,140000,4308,2009,1,1,C,1,0,2,5
Leinelä,28.0,151500,5411,2012,1,1,B2007,1,0,3,4
Kivistö,23.0,134255,5837,2019,0,1,,1,0,5,6
Viertola,23.0,147000,6391,2017,0,1,C2017,1,0,2,2
Kivistö,22.5,138805,6169,2019,0,1,C2018,1,0,3,4
Havukoski,31.0,89000,2871,1978,1,1,F2007,1,0,1,6
Asola,38.0,162000,4263,2007,1,2,D2007,1,0,4,4
Vantaanlaakso,31.0,113054,3647,1983,0,2,,1,0,3,3
Kivistö,24.5,141589,5779,2019,1,1,C2013,1,0,3,4
Rajakylä,32.6,169000,5184,2019,0,1,C2018,1,0,1,2
Asola,21.0,121516,5787,2020,0,1,C2018,1,0,2,4
Pähkinärinne,31.0,95000,3065,1973,0,2,,1,0,5,5
Asola,24.0,139791,5825,2019,1,1,C2013,1,1,5,5
Kivistö,21.5,151160,7031,2019,0,1,C2018,1,0,3,4
Tikkurila,25.0,174000,6960,2019,1,1,G2013,1,0,4,5
Pähkinärinne,32.5,110000,3385,1987,0,2,,1,0,2,2
Jokiniemi,23.0,138470,6020,2020,1,1,C2013,1,0,4,5
Myyrmäki,34.0,122000,3588,1981,1,2,D2007,1,0,4,6
Myyrmäki,36.5,165000,4521,2005,1,1,C,1,1,3,4
Asola,24.0,137836,5743,2019,1,1,C2013,1,1,5,5
Hakunila,33.0,90000,2727,1975,0,2,D2007,1,0,2,2
Kivistö,23.5,133949,5700,2019,0,1,C2018,1,0,2,4
Hiekkaharju,35.5,136000,3831,1989,0,2,,1,0,2,3
Kivistö,23.0,139836,6080,2019,1,1,C2018,1,0,5,6
Asola,21.0,130993,6238,2019,1,1,C2013,1,1,4,5
Rajakylä,23.6,169000,7161,2019,0,1,C2018,1,0,1,2
Kivistö,23.0,145416,6322,2019,1,1,C2018,1,0,6,6
Jokiniemi,29.0,142979,4930,2020,1,1,C2013,1,0,2,5
Kivistö,24.5,140653,5741,2019,1,1,C2013,1,0,2,4
Tikkurila,31.0,152000,4903,1962,0,1,,1,0,2,5
Rajakylä,23.6,139000,5890,2018,0,1,C2018,1,0,1,1
Rajakylä,23.6,139000,5890,2018,0,1,C2018,1,0,1,1
Länsimäki,32.0,91000,2844,1972,1,2,D2007,1,0,4,5
Koivukylä,35.0,106000,3029,1988,1,2,D,1,1,4,6
Vaarala,26.5,102000,3849,1957,0,1,D2007,1,0,3,4
Kivistö,41.0,265000,6463,2016,1,1,C2013,1,0,4,4
Asola,29.5,137000,4644,2018,0,1,,1,0,2,2
Pähkinärinne,31.0,98000,3161,1975,1,1,G2013,1,0,4,5
Myyrmäki,33.0,120000,3636,1978,0,2,,1,0,5,5
Tikkurila,24.0,157500,6563,2019,1,1,C2013,1,0,2,7
Jokiniemi,29.0,145897,5031,2020,1,1,C2013,1,0,3,5
Pakkala,33.0,158000,4788,2011,0,1,,1,0,1,5
Simonkallio,31.0,110000,3548,1990,0,2,,1,1,1,3
Myyrmäki,26.5,158731,5990,2020,1,1,,1,0,6,7
Martinlaakso,29.5,174848,5927,2019,1,1,C2013,1,1,7,8
Rajatorppa,32.0,80000,2500,1972,0,2,E,1,0,3,3
Martinlaakso,26.5,169495,6396,2019,1,1,C2013,1,1,7,8
Hiekkaharju,36.0,136000,3778,1984,0,2,D2007,1,1,3,4
Martinlaakso,26.5,163700,6177,2019,1,1,C2018,1,0,4,7
Martinlaakso,26.5,165000,6226,2019,1,1,C2013,1,0,3,8
Martinlaakso,26.5,169495,6396,2019,1,1,C2013,1,1,7,8
Myyrmäki,32.5,117000,3600,1976,0,2,,1,1,1,11
Kivistö,24.5,148500,6061,2017,1,1,,1,0,5,5
Martinlaakso,34.0,114000,3353,1971,0,1,,1,0,6,7
Kivistö,24.5,143772,5868,2019,1,1,C,1,0,3,4
Havukoski,29.0,95000,3276,1973,0,1,F2013,1,0,3,3
Martinlaakso,34.0,102000,3000,1970,1,2,D2007,1,0,1,5
Martinlaakso,29.5,169941,5761,2019,1,1,C2013,1,1,6,8
Kivistö,26.5,160000,6038,2019,1,1,C2013,1,0,2,8
Martinlaakso,26.5,178862,6750,2019,1,1,C2013,1,1,8,8
Jokiniemi,28.5,147911,5190,2019,1,1,C2013,1,0,4,6
Varisto,27.0,128000,4741,2018,0,1,C2013,1,0,1,2
Myyrmäki,30.0,111000,3700,1973,1,2,,1,0,4,5
Jokiniemi,29.0,148958,5137,2019,1,1,C2013,1,0,4,6
Kivistö,31.5,154100,4892,2018,1,1,C2013,1,0,1,5
